oldid,genre_ids,id,popularity,title,vote_average,revenue
6434,"[14, 28, 12]",559,70.745,Spider-Man 3,6.4,890871626
4673,"[16, 35, 10751, 12]",8355,64.858,Ice Age: Dawn of the Dinosaurs,6.7,886686817
5691,"[28, 12, 53]",206647,39.078,Spectre,6.5,880674609
1884,"[28, 12, 878, 18]",315635,108.271,Spider-Man: Homecoming,7.4,880166924
6526,"[16, 35, 12, 10751]",57800,51.622,Ice Age: Continental Drift,6.3,877244782
783,"[12, 14]",672,203.984,Harry Potter and the Chamber of Secrets,7.7,876688482
6967,"[12, 35, 16, 10751]",328111,17.569,The Secret Life of Pets,6.3,875457937
8377,"[28, 12, 14]",209112,86.346,Batman v Superman: Dawn of Justice,5.9,873637528
42,"[12, 14, 28]",120,97.325,The Lord of the Rings: The Fellowship of the Ring,8.4,871368364
5197,"[10752, 28, 18]",452557,22.75,Wolf Warrior 2,6.6,870322670
1640,"[12, 28, 878]",101299,63.726,The Hunger Games: Catching Fire,7.4,865011746
990,"[12, 28, 878]",283995,126.15,Guardians of the Galaxy Vol. 2,7.6,863756051
417,"[16, 10751, 12, 18, 35]",150540,152.835,Inside Out,7.9,857611174
4136,"[878, 28]",335983,108.391,Venom,6.8,855013954
1045,"[28, 12, 14, 878, 35]",284053,85.912,Thor: Ragnarok,7.6,853977126
1760,"[12, 28, 878]",1895,36.335,Star Wars: Episode III - Revenge of the Sith,7.4,850000000
7512,"[878, 28, 12]",8373,47.782,Transformers: Revenge of the Fallen,6.1,836303693
5927,"[12, 14, 18, 10749]",50620,96.023,The Twilight Saga: Breaking Dawn - Part 2,6.5,829747654
56,"[28, 878, 12]",27205,74.425,Inception,8.4,825532764
2345,"[28, 12, 14]",297762,70.038,Wonder Woman,7.2,822854286
2311,"[14, 28]",557,80.326,Spider-Man,7.3,821708551
4068,"[28, 12, 878]",602,34.992,Independence Day,6.9,817400891
6912,"[14, 12, 16, 35, 10751]",810,80.621,Shrek the Third,6.3,813367380
1930,"[28, 12, 14]",259316,70.402,Fantastic Beasts and Where to Find Them,7.3,809342332
122,"[10751, 16, 14, 10402, 35, 12]",354912,166.068,Coco,8.2,800526015
3604,"[12, 35, 14]",512200,65.079,Jumanji: The Next Level,7.0,800059707
5101,"[12, 28, 14]",166426,59.554,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,794861794
1339,"[878, 12, 10751, 14]",601,36.185,E.T. the Extra-Terrestrial,7.5,792965500
1711,"[28, 12]",353081,59.348,Mission: Impossible - Fallout,7.4,791657398
8846,"[28, 12, 878]",14161,82.801,2012,5.8,791217826
298,"[12, 14]",673,180.313,Harry Potter and the Prisoner of Azkaban,8.0,789804554
4253,"[28, 53, 80]",82992,9.504,Fast & Furious 6,6.8,788680968
8264,"[12, 28]",217,48.34,Indiana Jones and the Kingdom of the Crystal Skull,6.0,786636033
1388,"[28, 35, 12]",383498,94.196,Deadpool 2,7.5,786365638
2420,"[28, 12, 14]",558,31.092,Spider-Man 2,7.2,783766341
1049,"[28, 12, 35]",293660,112.153,Deadpool,7.6,783100000
133,"[12, 28, 878]",11,71.026,Star Wars,8.2,775398007
1549,"[12, 28, 53]",370172,102.524,No Time to Die,7.4,774153007
451,"[28, 878, 12]",118340,67.789,Guardians of the Galaxy,7.9,772776600
815,"[80, 9648, 53]",414906,350.79,The Batman,7.7,770836163
4743,"[53, 9648]",591,31.717,The Da Vinci Code,6.7,767820459
103,"[10751, 16, 18]",8587,135.994,The Lion King,8.3,763455561
4019,"[28, 12, 35]",384018,87.195,Fast & Furious Presents: Hobbs & Shaw,6.9,760098996
4810,"[14, 28, 35]",616037,558.221,Thor: Love and Thunder,6.7,760000000
3010,"[14, 12, 28, 10751, 10749]",102651,94.174,Maleficent,7.1,758539785
4920,"[28, 12, 14]",1930,86.638,The Amazing Spider-Man,6.7,757930663
4335,"[878, 12, 53]",131631,104.763,The Hunger Games: Mockingjay - Part 1,6.8,755356711
5304,"[28, 12, 878]",49521,72.009,Man of Steel,6.6,754045518
6673,"[35, 12, 14, 16, 10751]",10192,98.139,Shrek Forever After,6.3,752600867
1271,"[28, 12, 878]",127585,60.362,X-Men: Days of Future Past,7.5,747862775
5338,"[16, 10751, 35, 12]",80321,52.663,Madagascar 3: Europe's Most Wanted,6.6,746921274
8463,"[28, 12, 14]",297761,49.798,Suicide Squad,5.9,746846894
2971,"[12, 10751, 14]",411,97.541,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.1,745013115
3255,"[16, 10751]",62211,68.551,Monsters University,7.0,743559607
440,"[16, 14, 12]",615453,21.324,Ne Zha,7.9,742500000
3270,"[12, 28, 53, 878]",604,49.427,The Matrix Reloaded,7.0,738599701
393,"[16, 35, 10751, 12]",14160,80.153,Up,7.9,735099082
1236,"[28, 12, 878]",505642,2248.449,Black Panther: Wakanda Forever,7.5,733000000
2401,"[28, 12, 80, 53]",385128,120.261,F9,7.2,726229501
2696,"[878, 53, 18]",49047,29.053,Gravity,7.2,723192705
874,"[28, 12, 878]",100402,38.569,Captain America: The Winter Soldier,7.7,714766572
7191,"[12, 14, 10749]",50619,81.36,The Twilight Saga: Breaking Dawn - Part 1,6.2,712171856
2120,"[878, 28, 18, 53]",119450,80.579,Dawn of the Planet of the Apes,7.3,710644566
8108,"[12, 14, 18, 10749]",18239,63.914,The Twilight Saga: New Moon,6.0,709827462
4563,"[12, 878, 28]",1858,40.682,Transformers,6.7,709709780
5880,"[28, 12, 14]",102382,92.64,The Amazing Spider-Man 2,6.5,708962323
2368,"[27, 14]",346364,62.695,It,7.2,701842551
44,"[12, 18, 878]",157336,129.328,Interstellar,8.4,701729206
7138,"[12, 14, 18, 10749]",24021,102.038,The Twilight Saga: Eclipse,6.2,698491347
3181,"[28, 53, 12]",56292,45.032,Mission: Impossible - Ghost Protocol,7.1,694713380
2596,"[878, 12, 14]",70160,40.088,The Hunger Games,7.2,694394724
1138,"[12, 35, 10751, 16]",277834,23.162,Moana,7.6,690860472
2624,"[28, 12]",177677,35.594,Mission: Impossible - Rogue Nation,7.2,682716636
1617,"[28, 12, 14]",284052,67.513,Doctor Strange,7.4,677796076
18,"[35, 18, 10749]",13,57.434,Forrest Gump,8.5,677387716
394,"[9648, 53, 18]",745,31.772,The Sixth Sense,7.9,672806292
3740,"[16, 10751]",49444,74.259,Kung Fu Panda 2,6.9,665692281
4905,"[16, 10751, 35, 12]",950,64.175,Ice Age: The Meltdown,6.7,660998756
7616,"[28, 12, 878]",141052,67.833,Justice League,6.1,657926987
113,"[28, 12, 14, 878]",791373,147.966,Zack Snyder's Justice League,8.2,657900000
743,"[12, 10751, 16, 28, 35]",177572,107.073,Big Hero 6,7.7,657827828
667,"[12, 14, 28]",22,95.166,Pirates of the Caribbean: The Curse of the Black Pearl,7.8,655011224
3904,"[14, 12, 28]",338952,36.618,Fantastic Beasts: The Crimes of Grindelwald,6.9,654855901
3930,"[28, 12, 878]",131634,63.839,The Hunger Games: Mockingjay - Part 2,6.9,653428261
5578,"[12, 28, 878]",1894,33.266,Star Wars: Episode II - Attack of the Clones,6.5,649398328
5490,"[28, 12, 14]",76338,77.116,Thor: The Dark World,6.6,644571402
2912,"[16, 35, 10751, 10402]",335797,78.528,Sing,7.1,634151679
2485,"[28, 12, 16, 10751, 35]",9502,76.449,Kung Fu Panda,7.2,631744560
830,"[28, 12, 16, 10751]",9806,75.806,The Incredibles,7.7,631442092
904,"[18, 12, 878]",286217,53.291,The Martian,7.7,630161890
6574,"[14, 28]",8960,79.03,Hancock,6.3,629443428
2309,"[28, 53, 80]",51497,12.202,Fast Five,7.3,626137675
5821,"[28, 35, 878]",41154,46.805,Men in Black 3,6.5,624026776
4153,"[12, 28, 878]",10138,160.266,Iron Man 2,6.8,623933331
643,"[16, 35, 10751, 14]",2062,111.352,Ratatouille,7.8,623726000
3536,"[28, 12, 878]",363088,56.718,Ant-Man and the Wasp,7.0,622674139
899,"[14, 28, 12, 16, 35, 10751]",82702,90.654,How to Train Your Dragon 2,7.7,621537500
605,"[28, 18, 878]",263115,67.047,Logan,7.8,619021436
5695,"[12, 28, 878]",330,1.809,The Lost World: Jurassic Park,6.5,618638999
1651,[18],615,63.909,The Passion of the Christ,7.4,611899420
3539,"[35, 10749]",11631,28.424,Mamma Mia!,7.0,609841637
1758,"[12, 18]",87827,39.627,Life of Pi,7.4,609016565
7930,"[28, 12, 878]",335988,178.4,Transformers: The Last Knight,6.0,605425157
5981,"[10751, 12, 16, 35]",10527,51.72,Madagascar: Escape 2 Africa,6.5,603900354
5875,"[12, 53, 878]",74,49.071,War of the Worlds,6.5,603873119
1293,"[12, 28, 53]",36557,43.466,Casino Royale,7.5,599045960
1090,"[16, 10751]",38757,102.668,Tangled,7.6,592461732
6717,"[12, 28, 53, 80]",10764,34.194,Quantum of Solace,6.3,589580482
2632,"[28, 12, 35, 878]",607,42.122,Men in Black,7.2,589390539
3791,"[16, 12, 10751, 14, 35, 28]",49519,61.478,The Croods,6.9,587204668
6025,[35],45243,72.872,The Hangover Part II,6.5,586764305
2556,"[18, 878, 53]",6479,58.8,I Am Legend,7.2,585410052
988,"[28, 878, 12]",1726,91.162,Iron Man,7.6,585174222
1017,"[878, 12, 28]",333339,77.426,Ready Player One,7.6,582890172
583,"[16, 35, 10751]",585,132.175,"Monsters, Inc.",7.8,579707738
2983,"[28, 53, 10752, 18]",460555,24.758,Operation Red Sea,7.1,579220560
5487,"[28, 12, 35, 10751, 14]",1593,35.875,Night at the Museum,6.6,574480841
471,"[12, 28, 878]",1892,27.994,Return of the Jedi,7.9,572700000
2574,"[16, 10751, 14, 12]",12092,56.388,Alice in Wonderland,7.2,572000000
8558,"[18, 10749, 53]",216015,104.954,Fifty Shades of Grey,5.9,571006128
5753,"[28, 12, 14]",293167,61.745,Kong: Skull Island,6.5,566652812
8935,"[16, 10751, 12, 35, 14]",41513,39.585,The Smurfs,5.8,563749323
4083,"[12, 18, 28]",254,49.734,King Kong,6.8,562363449
7987,"[16, 10751, 12, 35]",49013,98.343,Cars 2,6.0,559852396
6199,"[28, 16, 12, 35, 10751]",417859,125.911,Puss in Boots,6.4,554987477
6044,"[35, 14, 10749]",381890,21.31,The Mermaid,6.5,553810228
4220,"[28, 53, 878, 12]",95,48.269,Armageddon,6.8,553799566
5842,"[28, 12, 878, 53]",435,27.144,The Day After Tomorrow,6.5,552639571
6362,"[35, 14]",72105,66.108,Ted,6.4,549368315
7666,"[12, 28, 53]",955,29.701,Mission: Impossible II,6.1,546388105
5712,"[28, 12, 878, 14]",246655,66.035,X-Men: Apocalypse,6.5,543934787
4308,"[10749, 14, 10751, 18]",150689,86.634,Cinderella,6.8,543514353
1590,"[10752, 28]",190859,70.99,American Sniper,7.4,542307423
3989,"[10751, 16, 12, 35]",953,70.271,Madagascar,6.9,542063846
3375,"[16, 12, 35, 10751, 28, 14]",62177,71.769,Brave,7.0,538983207
40,"[12, 28, 878]",1891,31.352,The Empire Strikes Back,8.4,538400000
2428,"[10751, 16, 35, 80]",20352,73.881,Despicable Me,7.2,533679475
1307,"[37, 18, 12]",281957,53.875,The Revenant,7.5,532950503
4331,"[28, 18, 27, 878, 53]",72190,91.133,World War Z,6.8,531865000
7200,"[28, 878, 27]",345940,91.004,The Meg,6.2,530243742
2430,"[10751, 16, 35, 12]",404368,64.263,Ralph Breaks the Internet,7.2,529221154
6936,"[28, 18, 878]",124905,53.95,Godzilla,6.3,529076069
3777,"[16, 35, 10751, 14]",400155,53.405,Hotel Transylvania 3: Summer Vacation,6.9,528600000
6004,"[16, 35, 10751]",295693,21.556,The Boss Baby,6.5,527965936
3440,"[16, 35, 10751]",35,67.548,The Simpsons Movie,7.0,527068851
1492,"[10752, 28, 18]",374720,36.339,Dunkirk,7.5,527000000
2551,"[28, 12, 80, 9648]",10528,38.396,Sherlock Holmes,7.2,524028679
240,"[16, 10751, 878]",10681,69.917,WALL·E,8.1,521311860
4056,"[28, 12, 16, 35, 10751]",140300,63.029,Kung Fu Panda 3,6.9,521170825
228,"[28, 53, 878]",280,73.946,Terminator 2: Judgment Day,8.1,520000000
3040,"[878, 28, 12]",102899,64.236,Ant-Man,7.1,519311965
695,"[16, 10751, 12]",166428,89.362,How to Train Your Dragon: The Hidden World,7.8,517526875
7112,"[35, 10749]",693,27.835,Meet the Fockers,6.2,516642939
4353,"[16, 10751, 35, 14]",360920,232.951,The Grinch,6.8,508575295
3783,"[878, 28, 12]",580489,239.837,Venom: Let There Be Carnage,6.9,506863592
2557,"[14, 18, 53, 9648, 10749]",251,40.509,Ghost,7.2,505000000
953,"[16, 10751, 12, 14, 10749]",812,59.447,Aladdin,7.6,504050219
73,"[16, 28, 12, 14]",635302,330.895,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.3,503063688
5879,"[12, 16, 35, 10751]",172385,62.397,Rio 2,6.5,500188435
2835,"[12, 36, 10752, 28]",652,47.104,Troy,7.1,497409852
1098,"[16, 35, 10751]",863,107.816,Toy Story 2,7.6,497366869
628,"[14, 12, 16, 10751]",10191,71.485,How to Train Your Dragon,7.8,494878759
6077,"[28, 12, 18]",664,28.341,Twister,6.4,494471524
8673,"[12, 14, 28]",18823,60.949,Clash of the Titans,5.9,493214993
8566,"[14, 12, 10751]",68728,42.921,Oz the Great and Powerful,5.9,491868548
1939,"[10751, 14, 12, 28]",420809,84.061,Maleficent: Mistress of Evil,7.3,491730089
2744,"[18, 878, 10752]",281338,64.832,War for the Planet of the Apes,7.1,490719763
819,"[16, 35, 14, 12, 10751]",808,139.172,Shrek,7.7,487853320
4941,"[28, 35, 18, 53]",787,31.246,Mr. & Mrs. Smith,6.7,487287646
4859,"[53, 9648]",13448,51.418,Angels & Demons,6.7,485930816
8562,"[878, 28, 12, 35]",98566,76.86,Teenage Mutant Ninja Turtles,5.9,485004754
4764,"[16, 12, 35, 10751]",46195,79.187,Rio,6.7,484635760
4840,"[14, 35]",310,41.96,Bruce Almighty,6.7,484592874
2201,"[53, 28, 18, 878]",61791,56.918,Rise of the Planet of the Apes,7.3,482860185
139,"[18, 36, 10752]",857,54.972,Saving Private Ryan,8.2,481840909
1780,"[35, 10751]",771,11.411,Home Alone,7.4,476684675
3236,"[12, 35, 10751, 14]",118,109.75,Charlie and the Chocolate Factory,7.0,474968763
573,"[12, 28]",89,52.635,Indiana Jones and the Last Crusade,7.8,474171806
7175,"[28, 18, 53]",254128,79.344,San Andreas,6.2,473990832
4334,"[16, 35, 10751, 14]",159824,54.44,Hotel Transylvania 2,6.8,473226958
3964,"[27, 14]",474350,117.268,It Chapter Two,6.9,473122525
2035,"[10751, 16, 35, 12]",82690,71.358,Wreck-It Ralph,7.3,471222889
945,"[27, 53, 12]",578,42.61,Jaws,7.6,470653000
788,"[28, 14, 878]",399566,154.209,Godzilla vs. Kong,7.7,470067014
2089,[35],18785,89.339,The Hangover,7.3,469310836
1675,"[12, 16, 35, 10751, 14]",137106,34.323,The Lego Movie,7.4,469160692
4761,"[28, 12, 878]",424783,82.099,Bumblebee,6.7,467989645
1988,"[28, 12, 878]",54138,35.632,Star Trek Into Darkness,7.3,467365246
136,"[28, 18, 12]",98,58.382,Gladiator,8.2,465361176
143,"[28, 878]",603,61.503,The Matrix,8.2,463517383
1656,"[10749, 35]",114,44.529,Pretty Woman,7.4,463406268
3886,"[16, 12, 35, 10751]",920,64.781,Cars,6.9,461983149
6292,"[12, 28, 878, 53]",36668,1.955,X-Men: The Last Stand,6.4,459359555
6762,"[28, 12, 9648, 53]",6637,27.304,National Treasure: Book of Secrets,6.3,459242249
6178,"[28, 878]",240832,53.655,Lucy,6.4,458863600
3616,"[12, 28, 53]",954,32.757,Mission: Impossible,7.0,457731198
1160,"[18, 28, 10752]",616,32.137,The Last Samurai,7.6,456758981
1655,"[53, 80]",161,39.683,Ocean's Eleven,7.4,450717150
4460,"[12, 14, 28]",10195,92.129,Thor,6.8,449326618
3662,"[28, 10752, 36, 10749, 18]",676,34.316,Pearl Harbor,6.9,449220945
1722,"[10751, 12, 16, 18]",37135,71.545,Tarzan,7.4,448191819
481,"[35, 18, 10749, 10402]",313369,30.134,La La Land,7.9,447407695
6513,"[28, 12, 35, 878]",608,37.776,Men in Black II,6.4,445135288
6640,"[12, 28, 14]",1734,54.257,The Mummy Returns,6.3,443280904
9305,"[35, 10751, 16, 14, 10402]",23398,46.253,Alvin and the Chipmunks: The Squeakquel,5.6,443140005
1685,"[28, 18, 9648, 53]",2503,31.295,The Bourne Ultimatum,7.4,442824138
1951,"[36, 18]",82695,19.707,Les Misérables,7.3,441809770
790,[27],9552,57.904,The Exorcist,7.7,441306145
2612,"[35, 18, 10751]",788,28.542,Mrs. Doubtfire,7.2,441286195
8507,"[878, 28, 53, 12]",87101,92.896,Terminator Genisys,5.9,440603537
7548,"[28, 53, 878]",296,45.104,Terminator 3: Rise of the Machines,6.1,435000000
1330,"[18, 10749, 10402]",332562,35.598,A Star Is Born,7.5,433888866
6521,"[28, 12, 14]",68735,37.947,Warcraft,6.3,433677183
3538,"[28, 12, 14]",447404,71.276,Pokémon Detective Pikachu,7.0,433005346
419,[18],316029,32.093,The Greatest Showman,7.9,432844677
944,"[28, 12, 14]",566525,151.299,Shang-Chi and the Legend of the Ten Rings,7.6,432243292
8309,"[12, 28, 53]",36669,25.778,Die Another Day,6.0,431971116
926,"[12, 18]",8358,37.086,Cast Away,7.7,429632142
6072,"[28, 12, 878]",427641,70.019,Rampage,6.4,428028233
92,"[18, 35]",77338,61.158,The Intouchables,8.3,426588510
2686,"[53, 28, 80]",38700,69.452,Bad Boys for Life,7.2,426505244
173,"[18, 37]",68718,49.668,Django Unchained,8.2,425368238
4797,"[12, 28, 53, 878]",605,42.096,The Matrix Revolutions,6.7,424988211
768,"[10749, 10751, 16, 14]",10020,81.633,Beauty and the Beast,7.7,424967620
527,"[12, 18, 37]",581,29.667,Dances with Wolves,7.9,424208848
2668,"[28, 12, 10752]",1271,42.132,300,7.2,422610419
5229,"[12, 10751, 14]",2454,57.045,The Chronicles of Narnia: Prince Caspian,6.6,419665568
3990,"[12, 28, 14]",564,64.764,The Mummy,6.9,415885488
6187,"[12, 10751, 14]",10140,49.415,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.4,415686217
6728,"[28, 53]",324668,27.457,Jason Bourne,6.3,415484914
6361,"[28, 878, 12, 14]",76170,9.864,The Wolverine,6.4,415440673
5370,"[35, 18, 10749]",4564,50.405,Sex and the City,6.6,415252786
965,"[80, 35, 28, 12]",207703,57.107,Kingsman: The Secret Service,7.6,414351546
764,"[18, 36]",45269,21.557,The King's Speech,7.7,414211549
7606,"[12, 14, 28, 35, 10751]",18360,36.762,Night at the Museum: Battle of the Smithsonian,6.1,413106170
2515,"[14, 28, 80]",268,44.041,Batman,7.2,411348924
4950,"[53, 28, 18, 10402, 10749]",619,28.214,The Bodyguard,6.7,411006740
3483,"[28, 12, 35, 878, 80]",343668,51.335,Kingsman: The Golden Circle,7.0,410902662
9601,"[14, 53, 28, 12, 27]",282035,32.449,The Mummy,5.5,409231607
7881,"[12, 16, 10751, 35, 878]",278154,51.343,Ice Age: Collision Course,6.1,408579038
5005,"[18, 53, 878, 9648]",2675,26.985,Signs,6.7,408247917
3298,"[12, 28, 878]",36658,1.797,X2,7.0,407711549
4050,"[28, 878, 12]",68726,91.302,Pacific Rim,6.9,407602906
320,"[16, 12, 35]",438695,212.326,Sing 2,8.0,406000000
4243,"[14, 12, 28]",338953,243.037,Fantastic Beasts: The Secrets of Dumbledore,6.8,405161334
2539,"[28, 878, 12]",399579,60.192,Alita: Battle Angel,7.2,404980000
9714,"[12, 28, 14]",1735,41.879,The Mummy: Tomb of the Dragon Emperor,5.4,403449830
5750,"[878, 12, 9648]",70981,68.128,Prometheus,6.5,403354469
330,"[18, 10752, 10749]",770,29.59,Gone with the Wind,8.0,402352579
3285,"[878, 28, 12]",524434,161.742,Eternals,7.0,402064899
964,"[28, 12, 10751, 35]",675353,465.592,Sonic the Hedgehog 2,7.6,401800000
3050,"[28, 12]",335787,210.199,Uncharted,7.1,401748820
562,"[878, 12]",438631,112.976,Dune,7.8,400671789
6141,"[12, 28, 878]",20526,47.36,TRON: Legacy,6.4,400062763
4778,"[12, 28, 53]",956,38.767,Mission: Impossible III,6.7,398479497
8256,"[12, 14, 18]",58595,38.014,Snow White and the Huntsman,6.0,396600000
2759,"[35, 10749]",458423,26.788,Mamma Mia! Here We Go Again,7.1,395044706
6829,"[14, 18, 10749]",8966,96.183,Twilight,6.3,393616788
5453,"[878, 12, 28]",348350,45.63,Solo: A Star Wars Story,6.6,392952373
278,"[80, 18, 35]",106646,98.25,The Wolf of Wall Street,8.0,392000000
9125,"[878, 28, 12]",1452,33.986,Superman Returns,5.7,391081192
4132,"[28, 12, 18, 10749]",8367,30.649,Robin Hood: Prince of Thieves,6.8,390493908
426,"[12, 28]",85,58.54,Raiders of the Lost Ark,7.9,389925971
6245,"[35, 14, 12]",334298,22.061,Monster Hunt,6.4,387053506
4930,"[878, 28]",373571,72.152,Godzilla: King of the Monsters,6.7,386600138
1603,"[878, 28, 12]",13475,48.273,Star Trek,7.4,385680446
2113,"[28, 14, 878]",436270,11752.795,Black Adam,7.3,384571691
7487,"[16, 35, 10751]",9836,57.258,Happy Feet,6.1,384335608
4098,"[16, 12, 35, 10751]",260514,92.032,Cars 3,6.8,383925276
5332,"[28, 53]",1571,36.125,Live Free or Die Hard,6.6,383531464
1977,"[16, 35, 10751, 12]",425,110.568,Ice Age,7.3,383257136
7268,"[16, 10751, 12, 878]",15512,50.028,Monsters vs Aliens,6.2,381509870
78,"[12, 35, 878]",105,65.771,Back to the Future,8.3,381109762
1756,"[28, 12, 878]",497698,107.792,Black Widow,7.4,379751655
9396,"[878, 28, 53]",929,37.774,Godzilla,5.6,379014294
3198,"[28, 53]",36955,28.635,True Lies,7.0,378882411
1140,"[28, 12, 878]",76341,70.726,Mad Max: Fury Road,7.6,378858340
5789,"[18, 10749]",341174,61.887,Fifty Shades Darker,6.5,378827494
765,"[18, 10749]",12405,29.615,Slumdog Millionaire,7.7,378410542
6623,"[28, 80, 53]",82675,63.198,Taken 2,6.3,376141306
